uniq_id,product_name,number_of_reviews,cleaned_price,stock_quantity,stock_condition,average_review_rating_out_of_5,main_category,sub_category,item_weight_in_kg,recommended_minimum_age_years,purchase_month,purchase_year,seller_name,main_category_encoded,sub_category_encoded,seller_name_encoded,sales,month_sin,month_cos
eac7efa5dbd3d667f26eb3d3ab504464,Hornby 2014 Catalogue,15,3.42,5,new,4.9,Hobbies,Model Trains & Railway Sets,0.6,6.0,4,2014,Amazon.co.uk,17,81,84,17.1,0.8660254037844387,-0.49999999999999983
b17540ef7e86e461d37f3ae58b7b72ac,FunkyBuys® Large Christmas Holiday Express Festive Train Set (SI-TY1017) Toy Light / Sounds / Battery Operated & Smoke,2,16.99,3,new,4.5,Hobbies,Model Trains & Railway Sets,0.2,3.0,12,2015,UHD WHOLESALE,17,81,1588,50.97,-2.4492935982947064e-16,1.0
348f344247b0c1a935b1223072ef9d8a,CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERY,17,9.99,2,new,3.9,Hobbies,Model Trains & Railway Sets,0.2,3.0,5,2015,DEAL,17,81,352,19.98,0.49999999999999994,-0.8660254037844387
e12b92dbb8eaee78b22965d2a9bbbd9f,HORNBY Coach R4410A BR Hawksworth Corridor 3rd,1,39.99,3,new,5.0,Hobbies,Model Trains & Railway Sets,0.3,3.0,7,2013,nan,17,81,1901,119.97,-0.4999999999999998,-0.8660254037844388
e33a9adeed5f36840ccc227db4682a36,Hornby 00 Gauge 0-4-0 Gildenlow Salt Co. Steam Locomotive Model,3,32.19,3,new,4.7,Hobbies,Model Trains & Railway Sets,0.2,4.0,4,2014,nan,17,81,1901,96.57,0.8660254037844387,-0.49999999999999983
cb34f0a84102c1ebc3ef6892d7444d36,20pcs Model Garden Light Double Heads Lamppost Scale 1:100,2,6.99,3,new,5.0,Hobbies,Model Trains & Railway Sets,0.2,3.0,12,2014,STK e,17,81,1269,20.97,-2.4492935982947064e-16,1.0
f74b562470571dfb689324adf236f82c,Hornby 00 Gauge 230mm BR Bogie Passenger Brake Coach Model (Red),2,24.99,3,new,4.5,Hobbies,Model Trains & Railway Sets,0.2,3.0,10,2014,MyHobbyStore Retail,17,81,1006,74.97,-0.8660254037844386,0.5000000000000001
87bbb472ef9d90dcef140a551665c929,Hornby Santa's Express Train Set,36,69.93,3,new,4.3,Hobbies,Model Trains & Railway Sets,1.2,8.0,12,2015,Toy Arena,17,81,1529,209.79000000000002,-2.4492935982947064e-16,1.0
7e2aa2b4596a39ba852449718413d7cc,Hornby Gauge Western Express Digital Train Set with eLink and TTS Loco Train Set,1,235.58,4,new,5.0,Hobbies,Model Trains & Railway Sets,2.3,8.0,12,2015,Amazon.co.uk,17,81,84,942.32,-2.4492935982947064e-16,1.0
5afbaf65680c9f378af5b3a3ae22427e,Learning Curve Chuggington Interactive Chatsworth,8,41.11,1,new,4.8,Hobbies,Model Trains & Railway Sets,0.2,3.0,1,2011,nan,17,81,1901,41.11,0.49999999999999994,0.8660254037844387
5c76389a8c302c6d7d6e179393031b97,Hornby Gauge Railroad Mosley Tarmacadam Locomotive,1,27.49,6,new,5.0,Hobbies,Model Trains & Railway Sets,0.1,8.0,1,2016,nan,17,81,1901,164.94,0.49999999999999994,0.8660254037844387
878048c41f3c249badb3704e160b4c6e,Kato (USA) 176-1308 F3B Denver & Rio Grande Western,1,273.6,3,new,5.0,Hobbies,Model Trains & Railway Sets,0.2,14.0,11,2014,kirara,17,81,1867,820.8000000000001,-0.5000000000000004,0.8660254037844384
f910c6542ededa5abf81787c0fd87c99,Bachmann 37-662 14 Ton Tank Wagon Pease & Partners Red,1,9.6,2,new,5.0,Hobbies,Model Trains & Railway Sets,0.2,14.0,10,2015,MyHobbyStore Retail,17,81,1006,19.2,-0.8660254037844386,0.5000000000000001
03a35de3f7af9814978e6de645cb8ffa,Hornby 00 Gauge 253mm Weathered Paviland Grange Steam Locomotive Train Model,3,119.5,2,new,5.0,Hobbies,Model Trains & Railway Sets,0.5,3.0,10,2014,nan,17,81,1901,239.0,-0.8660254037844386,0.5000000000000001
c68c3ae3b0ea3146beae99f3d4a6997c,Kato 3060-2 EF65 500 (F Model) Electric Locomotive,1,41.11,18,new,5.0,Hobbies,Model Trains & Railway Sets,0.2,8.0,2,2015,nan,17,81,1901,739.98,0.8660254037844386,0.5000000000000001
d27964f50577db8e46f2069b050c62c6,Glacier Express of N gauge 10-1219 Alps [UNESCO paint color] 7 Car Set,1,41.11,12,new,5.0,Hobbies,Model Trains & Railway Sets,0.7,8.0,8,2015,Beeee!,17,81,169,493.32,-0.8660254037844384,-0.5000000000000004
c3b2f6ec9cf6250c960c26ee8ad33509,Power Trains Freight Industrial (Pack of 4),2,41.11,2,new,4.5,Hobbies,Model Trains & Railway Sets,0.5,4.0,11,2013,nan,17,81,1901,82.22,-0.5000000000000004,0.8660254037844384
e9ef14a0253f074343b5441540d8471f,Chuggington Interactive Wash and Fuel Set with Brewster Train Toy,2,41.11,1,used,4.0,Hobbies,Model Trains & Railway Sets,1.0,3.0,11,2011,nan,17,81,1901,41.11,-0.5000000000000004,0.8660254037844384
0ca63377ca8015e585efa1d418f04756,Kumoyuni 74-0 Shonan Color (Model Train),1,17.08,26,new,4.0,Hobbies,Model Trains & Railway Sets,0.1,12.0,4,2014,Santa Trading JP,17,81,1289,444.0799999999999,0.8660254037844387,-0.49999999999999983
42d20aa25e5902eff9f5d307bb38230e,Bachmann 31-588 Freightliner Class 70 005 Powerhaul Diesel Weathered,1,96.05,2,new,5.0,Hobbies,Model Trains & Railway Sets,0.2,14.0,12,2015,nan,17,81,1901,192.1,-2.4492935982947064e-16,1.0
4aaa27925929708a6b56fd7e46b35208,Preiser 30495 Horse Drawn Wedding Coach (Closed),1,27.55,3,new,5.0,Hobbies,Model Trains & Railway Sets,0.0,10.0,3,2014,Au Pullman,17,81,114,82.65,1.0,6.123233995736766e-17
81b3ad5c07a31fa67e4dc8643afa3275,Preiser 30414 Horse Drawn Liquid Manure Wagon,1,24.5,2,new,5.0,Hobbies,Model Trains & Railway Sets,0.2,10.0,3,2014,Gaugemaster,17,81,570,49.0,1.0,6.123233995736766e-17
