sub_category,mean_reviews,std_reviews,count_years,trend_reviews_per_year,cluster,mean_reviews_original
3-D Puzzles,1.6945957207744073,1.9942209586547295,4,0.26923076923081907,2,4.444444444444445
Accessories,2.133686556532232,3.0942237286286924,7,-1.2824736699972674,2,7.4459459459459465
Action Man,0.6931471805599453,0.0,2,1.6357711399339064e-19,0,1.0
Art Sand,2.3353749158170367,2.3899505686163462,3,4.195121951221653,2,9.333333333333336
"Banners, Stickers & Confetti",1.9459101490553132,2.1776664633812652,4,-3.176064441887056,2,5.999999999999999
Barbie,1.0986122886681098,0.881373587019543,1,0.0,0,2.0000000000000004
Beach Toys,2.341805806147327,2.773213318944082,3,-4.760869565217699,2,9.4
Blackboards,3.970291913552122,0.0,1,0.0,3,52.00000000000001
Board Games,1.5040773967762742,1.5119428067218539,2,-1.2500000000001186,0,3.5000000000000004
Brain Teasers,1.3217558399823195,0.9961457767684165,1,0.0,0,2.75
Card Games,2.8111860217379254,3.2600540532471,7,-4.0978682170575995,2,15.629629629629633
Casino Equipment,0.6931471805599453,0.0,1,0.0,0,1.0
Chess,1.6582280766035324,1.7265769881386435,4,-0.6923076923075985,2,4.25
Children's Craft Kits,2.153549513833558,2.7072494602614268,6,-1.4426229508197144,2,7.615384615384616
Chocolate,4.304335326958005,0.0,1,0.0,3,73.01999999999961
Collectible Figures & Memorabilia,1.4853852637641214,1.5587290261379374,5,0.5693779904307175,2,3.416666666666666
Colouring Pencils,0.6931471805599453,0.0,2,-3.028128108585859e-21,0,1.0
Colouring Pens & Markers,3.3381392456950185,3.7397461612482794,3,-9.33333333332827,1,27.166666666666668
Costumes,1.5332765514685365,1.7753557228003927,5,-1.7937336814621674,2,3.6333333333333337
Cowboys & Indians,1.0986122886681098,0.6931471805599453,3,-0.6428571428571921,0,2.0000000000000004
Crayola,2.7300291078209855,2.403917639497637,3,-1.3513513513518736,2,14.333333333333336
DVD Games,2.6390573296152584,0.0,1,0.0,3,12.999999999999996
Decorations,1.2694300209805796,1.5943217099479392,5,-2.2005475701574118,2,2.558823529411764
Dice & Dice Games,2.21226245470076,2.9919324622138763,4,-2.5124223602486513,2,8.136363636363638
Dinosaurs,1.3862943611198906,1.6176941128856015,3,0.07608695652170565,0,3.0
Disney,2.37842316938555,3.3257032147401144,5,-12.61214953271013,1,9.787878787878787
Dolls' House Dolls & Accessories,1.6094379124341003,1.8723014054205023,4,-3.1067961165053335,2,3.9999999999999996
Dominoes & Tile Games,2.8716796248840124,3.590023456330249,6,-7.858974358974313,1,16.66666666666667
Educational Games,2.325399770760217,2.6404992371888634,7,-1.5911237016059903,2,9.23076923076923
Erotic Clothing,1.0986122886681098,0.0,1,0.0,0,2.0000000000000004
Farm & Animals,1.2992829841302609,1.357573679139061,1,0.0,0,2.666666666666667
Fashion Dolls & Accessories,0.6931471805599453,0.0,1,0.0,0,1.0
Finger Puppets,1.791759469228055,1.656825319317369,2,-1.2000000000000062,0,5.0
Garden Tools,4.110873864173311,0.0,1,0.0,3,60.00000000000001
Hand Puppets,2.049588578530155,2.343496615772519,7,-2.5205223880597587,2,6.764705882352942
Harry Potter,1.5260563034950494,1.6044095680475774,5,0.3691860465116625,2,3.6000000000000005
Hasbro,2.9740707767728116,3.248200177603312,6,0.1701244813279878,2,18.571428571428573
Invitations,0.6931471805599453,0.0,2,1.7312249028780376e-20,0,1.0
Jigsaws,2.404863942114464,2.8354939824732845,5,-2.6099137931035834,2,10.076923076923078
Kites & Flight Toys,3.305053521109253,3.653310346663439,3,-20.571428571426516,1,26.25
Knights & Castles,1.9002401122221249,2.183811798733355,5,-1.7859824780976132,2,5.687499999999999
"Labels, Index Dividers & Stamps",0.6931471805599453,0.0,1,0.0,0,1.0
LeapFrog,1.0986122886681098,0.0,1,0.0,0,2.0000000000000004
Military,0.6931471805599453,0.0,1,0.0,0,1.0
