sub_category,mean_reviews,median_reviews,std_reviews,mean_rating,count_years,trend_reviews_per_year,cluster
3-D Puzzles,4.444444444444445,3.0,6.3464775882199245,4.722222222222222,4,0.26923076923081907,0
Accessories,7.4459459459459465,2.0000000000000004,21.070099499730535,4.598648648648648,7,-1.2824736699972674,0
Action Man,1.0,1.0,0.0,5.0,2,1.6357711399339064e-19,1
Art Sand,9.333333333333336,3.5000000000000004,9.912954487269005,4.583333333333333,3,4.195121951221653,0
"Banners, Stickers & Confetti",5.999999999999999,3.0,7.825687146209257,4.75,4,-3.176064441887056,0
Barbie,2.0000000000000004,2.0000000000000004,1.4142135623730951,5.0,1,0.0,1
Beach Toys,9.4,3.0,15.00999666888704,4.64,3,-4.760869565217699,0
Blackboards,52.00000000000001,52.00000000000001,0.0,4.3,1,0.0,2
Board Games,3.5000000000000004,3.5000000000000004,3.5355339059327378,4.5,2,-1.2500000000001186,1
Brain Teasers,2.75,2.5,1.707825127659933,4.675,1,0.0,1
Card Games,15.629629629629633,3.0,25.050945242642193,4.614814814814815,7,-4.0978682170575995,0
Casino Equipment,1.0,1.0,0.0,5.0,1,0.0,1
Chess,4.25,3.5000000000000004,4.621378891320518,4.7,4,-0.6923076923075985,0
Children's Craft Kits,7.615384615384616,2.0000000000000004,13.987993694999155,4.646153846153846,6,-1.4426229508197144,0
Chocolate,73.01999999999961,73.01999999999961,0.0,4.5,1,0.0,2
Collectible Figures & Memorabilia,3.416666666666666,2.0000000000000004,3.7527767497325675,4.708333333333333,5,0.5693779904307175,0
Colouring Pencils,1.0,1.0,0.0,5.0,2,-3.028128108585859e-21,1
Colouring Pens & Markers,27.166666666666668,12.5,41.08730541988203,4.716666666666667,3,-9.33333333332827,3
Costumes,3.6333333333333337,1.0,4.9023803741991845,4.6033333333333335,5,-1.7937336814621674,0
Cowboys & Indians,2.0000000000000004,2.0000000000000004,1.0,4.6000000000000005,3,-0.6428571428571921,1
Crayola,14.333333333333336,12.999999999999996,10.066445913694333,4.0,3,-1.3513513513518736,2
DVD Games,12.999999999999996,12.999999999999996,0.0,4.6,1,0.0,2
Decorations,2.558823529411764,1.0,3.924987368986341,4.835294117647059,5,-2.2005475701574118,0
Dice & Dice Games,8.136363636363638,2.5,18.92414797615408,4.659090909090909,4,-2.5124223602486513,0
Dinosaurs,3.0,1.0,4.041451884327381,4.771428571428571,3,0.07608695652170565,1
Disney,9.787878787878787,2.0000000000000004,26.818554183341966,4.742424242424242,5,-12.61214953271013,3
Dolls' House Dolls & Accessories,3.9999999999999996,2.0000000000000004,5.503245795502349,4.8,4,-3.1067961165053335,0
Dominoes & Tile Games,16.66666666666667,8.000000000000002,35.234925854895735,4.788888888888889,6,-7.858974358974313,3
Educational Games,9.23076923076923,3.0,13.020201266710165,4.484615384615385,7,-1.5911237016059903,0
Erotic Clothing,2.0000000000000004,2.0000000000000004,0.0,4.0,1,0.0,1
Farm & Animals,2.666666666666667,1.0,2.886751345948129,4.766666666666667,1,0.0,1
Fashion Dolls & Accessories,1.0,1.0,0.0,5.0,1,0.0,1
Finger Puppets,5.0,5.0,4.242640687119285,4.7,2,-1.2000000000000062,1
Garden Tools,60.00000000000001,60.00000000000001,0.0,4.6,1,0.0,2
Hand Puppets,6.764705882352942,3.0,9.417599294437423,4.688235294117647,7,-2.5205223880597587,0
Harry Potter,3.6000000000000005,1.0,3.9749213828703587,4.76,5,0.3691860465116625,0
Hasbro,18.571428571428573,5.0,24.74396363284864,4.421428571428572,6,0.1701244813279878,0
Invitations,1.0,1.0,0.0,4.666666666666667,2,1.7312249028780376e-20,1
Jigsaws,10.076923076923078,2.0000000000000004,16.038815097867726,4.723076923076923,5,-2.6099137931035834,0
Kites & Flight Toys,26.25,3.5000000000000004,37.60224157452014,4.6,3,-20.571428571426516,3
Knights & Castles,5.687499999999999,3.5000000000000004,7.8800909470217,4.7625,5,-1.7859824780976132,0
"Labels, Index Dividers & Stamps",1.0,1.0,0.0,5.0,1,0.0,1
LeapFrog,2.0000000000000004,2.0000000000000004,0.0,4.0,1,0.0,1
Military,1.0,1.0,0.0,5.0,1,0.0,1
Model Building Kits,1.5714285714285714,1.0,1.6035674514745462,4.742857142857143,2,0.4166666666664016,1
Model Trains & Railway Sets,5.200000000000001,1.0,13.915289940121516,4.819999999999999,5,-4.301737756715254,0
Painting By Numbers,3.0,3.0,2.82842712474619,4.9,2,-1.999999999999983,1
Paper & Stickers,8.1,2.0000000000000004,21.49638892563366,4.8,6,-8.339548577036425,3
Party Tableware,5.0,5.0,0.0,5.0,1,0.0,1
Pens & Refills,3.0,3.0,0.0,5.0,1,0.0,1
Pirates,6.499999999999999,2.0000000000000004,11.264307141791516,4.828571428571428,7,2.0690607734809583,0
Playsets,3.5000000000000004,3.5000000000000004,2.121320343559643,4.8,1,0.0,1
Rattles,1.0,1.0,0.0,4.0,1,0.0,1
Ravensburger,7.700000000000002,5.0,9.764447984624857,4.71,6,0.410211267605646,0
Remote Controlled Devices,2.8666666666666667,1.0,4.2235169276439795,4.8533333333333335,5,0.2388663967611842,0
Rockers & Ride-ons,10.000000000000002,10.000000000000002,0.0,5.0,1,0.0,1
Rocking Horses,1.0,1.0,0.0,5.0,1,0.0,1
