sub_category,average_reviews_nov,occurrence_count,prop_nov_years,cluster,average_reviews_nov_scaled,occurrence_count_scaled,cluster_label
Chocolate,122.0,1,0.0625,3,6.799472639669013,-1.0511533309952017,0
Garden Tools,60.0,1,0.0625,5,3.049968781176623,-1.0511533309952017,1
Blackboards,52.0,1,0.0625,5,2.566161831693734,-1.0511533309952017,1
Trivia & Quiz Games,33.25,3,0.1875,2,1.4322392938432131,-0.14204774743178403,2
Schoolbags & Backpacks,33.0,1,0.0625,2,1.417120326671873,-1.0511533309952017,2
Colouring Pens & Markers,27.166666666666668,3,0.1875,2,1.0643444260072665,-0.14204774743178403,2
Kites & Flight Toys,26.25,3,0.1875,2,1.0089082130456855,-0.14204774743178403,2
VTech,19.0,1,0.0625,2,0.5704581650768172,-1.0511533309952017,2
Star Wars,31.65,7,0.4375,1,1.3354779039466353,1.6761634196950514,3
Hasbro,18.571428571428573,6,0.375,1,0.5445399356402341,1.2216106279133425,3
Dominoes & Tile Games,16.666666666666668,6,0.375,1,0.42934780481097473,1.2216106279133425,3
Card Games,15.62962962962963,7,0.4375,1,0.36663208913726686,1.6761634196950514,3
Educational Games,9.23076923076923,7,0.4375,1,-0.02034455208017217,1.6761634196950514,3
Unknown,8.210526315789474,8,0.5,1,-0.08204462863365791,2.13071621147676,3
Paper & Stickers,8.1,6,0.375,1,-0.08872880359361894,1.2216106279133425,3
Ravensburger,7.7,6,0.375,1,-0.11291915106776336,1.2216106279133425,3
Children's Craft Kits,7.615384615384615,6,0.375,1,-0.11803633995652472,1.2216106279133425,3
Accessories,7.445945945945946,7,0.4375,1,-0.12828329067972,1.6761634196950514,3
Hand Puppets,6.764705882352941,7,0.4375,1,-0.1694818753087776,1.6761634196950514,3
Pirates,6.5,7,0.4375,1,-0.18549019349019671,1.6761634196950514,3
"Slot Cars, Race Tracks & Accessories",5.333333333333333,6,0.375,1,-0.256045373623118,1.2216106279133425,3
Trading Cards & Accessories,4.972222222222222,8,0.5,1,-0.2778838817594984,2.13071621147676,3
Science Fiction & Fantasy,4.782608695652174,6,0.375,1,-0.2893509244933169,1.2216106279133425,3
Toy Vehicles & Accessories,4.387755102040816,8,0.5,1,-0.3132300385705003,2.13071621147676,3
Crayola,14.333333333333334,3,0.1875,4,0.2882374445451321,-0.14204774743178403,4
Thomas & Friends,11.666666666666666,3,0.1875,4,0.12696846138416903,-0.14204774743178403,4
Toy Trains & Accessories,10.705882352941176,5,0.3125,4,0.06886419539235147,0.7670578361316337,4
Jigsaws,10.076923076923077,5,0.3125,4,0.03082733680744112,0.7670578361316337,4
Disney,9.787878787878787,5,0.3125,4,0.013347132338945106,0.7670578361316337,4
Beach Toys,9.4,3,0.1875,4,-0.010110174302649447,-0.14204774743178403,4
Art Sand,9.333333333333334,3,0.1875,4,-0.014141898881673507,-0.14204774743178403,4
Dice & Dice Games,8.136363636363637,4,0.25,4,-0.08652968109596941,0.3125050443499248,4
"Banners, Stickers & Confetti",6.0,4,0.25,4,-0.2157281278328773,0.3125050443499248,4
Knights & Castles,5.6875,5,0.3125,4,-0.23462683679705262,0.7670578361316337,4
